stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
BRU1MARL,BRU1MARL,Hôtel de Ville,235 Rue Charles Marlard 62700 Bruay-la-Buissière,50.48318459262989,2.54700936933999,,,0,,0
CAL2BELF,CAL2BELF,Belfort,9 Rue Gryson 62260 Auchel,50.49737414586748,2.480750041615497,,,0,,0
CAL1BELF,CAL1BELF,Belfort,9 Rue Gryson 62260 Auchel,50.49739217092944,2.480679765890028,,,0,,0
HAI2EGLI,HAI2EGLI,Mairie,28 Rue du 1er Mai 62940 Haillicourt,50.474827015751394,2.5835142051736533,,,0,,0
BAR1FETE,BAR1FETE,Mairie,13 Rue du Docteur Capiaux 62620 Barlin,50.45798637046115,2.6171763423492345,,,0,,1
PVE1GARE,PVE1GARE,Gare,16 Rue Cesar Luccarini 62880 Pont-à-Vendin,50.47109629401694,2.875851236095487,,,0,,1
LEN1SHOU,LEN1SHOU,Salle Houdart,4 Allee Suzanne Bachelard 62300 Lens,50.44364761658194,2.810979811007277,,,0,,0
AUC1EVR2,AUC1EVR2,Evrard,66 Rue Florent Evrard 62260 Auchel,50.504332038879305,2.4764653300738098,,,0,,1
CAR2BH26,CAR2BH26,Mairie,1 Rue Willerval 62220 Carvin,50.490323126362064,2.959681353765524,,,0,,1
AVI1CHVE,AVI1CHVE,Taverne,38 Av Theo Salingue Pere et Fils 62210 Avion,50.41106207508383,2.8547769479444667,,,0,,1
ROU1CHLA,ROU1CHLA,Laly,379 Boulevard Fosse 2 62320 Rouvroy,50.40009215770118,2.8949264296039003,,,0,,1
LIE2OCTR,LIE2OCTR,Octroi,158 ter Rue Jules Ferry 62800 Liévin,50.433668666233096,2.7463781200239943,,,0,,1
LAP1VAMA,LAP1VAMA,Gare,416 Rue Victor Hugo 62122 Lapugnoy,50.50670323471024,2.516087629730356,,,0,,0
LEN2CHL1,LEN2CHL1,Hôpital,80 Route de la Bassée 62300 Lens,50.438960546867726,2.8210932405721305,,,0,,1
BET2GEND,BET2GEND,Gendarmerie,87 Rue d’Aire 62400 Béthune,50.536136346061625,2.637221447725289,,,0,,0
AVI1GAR2,AVI1GAR2,Gare,19 Place du 19 Mars 1962 62210 Avion,50.40725539676614,2.83353658879607,,,0,,0
LEN2FOS4,LEN2FOS4,Fosse 4,1 Rue Notre Dame de Lorette 62300 Lens,50.42543523656418,2.819740947233686,,,0,,1
COU1LAMA,COU1LAMA,Lamartine,39 Rue des Fusillés 62710 Courrières,50.457537815277455,2.950940214708448,,,0,,0
FOL2MAI2,FOL2MAI2,Mairie,4 Rue Gaston Miont 62232 Fouquereuil,50.5181576053996,2.5978547461854604,,,0,,0
LEN1MOZA,LEN1MOZA,Mozart,34 Rue Wolfgang Amadeus Mozart 62300 Lens,50.42891826245548,2.80537674311378,,,0,,0
LIB1CIM1,LIB1CIM1,Cimetière,7 bis Rue Emile Basly 62820 Libercourt,50.48448326116109,3.010683131938832,,,0,,0
LIL2LEME,LIL2LEME,Le Mensecq,,50.552176508232094,2.4757816279543894,,,0,,1
LOZ2ABR2,LOZ2ABR2,Abreuvoir,2 c Rue Jean Bruyez 62540 Lozinghem,50.51893855312718,2.4977961000400533,,,0,,1
BAR1RFOC,BAR1RFOC,Rue Foch,243 Rue de Fresnicourt 62620 Barlin,50.44767145721391,2.6118073114584965,,,0,,0
LEN2JBLE,LEN2JBLE,Eugène Thomas,29 Rue de Londres 62300 Lens,50.4341685125873,2.828071053129217,,,0,,0
BET1LEGI,BET1LEGI,Legillon,445 Boulevard Raymond Poincare 62400 Béthune,50.52471706016147,2.6404180714041825,,,0,,0
HOU2GEND,HOU2GEND,Gendarmerie,353 Rue de la Gendarmerie 62150 Houdain,50.4484237596274,2.5436040842889804,,,0,,0
BRU2CVER,BRU2CVER,Cap Vert,376 Rue Jules Guesde 62700 Bruay-la-Buissière,50.47282444416711,2.555963554684052,,,0,,0
BET2BARB,BET2BARB,Barbusse,25 Rue Henri Barbusse 62400 Béthune,50.51675618478071,2.641734798795804,,,0,,0
CAR1ZOLA,CAR1ZOLA,Zola,Place Jean Jaurès 62220 Carvin,50.49342105936969,2.9573850610110624,,,0,,0
AVI2GEND,AVI2GEND,Gendarmerie,21 Rue Jean Jacques Rousseau 62210 Avion,50.4054548270884,2.82832401046251,,,0,,0
DIV2LIMA,DIV2LIMA,Lima,118 Rue des Frères Caron 62460 Divion,50.47109684964426,2.5205295816054143,,,0,,1
LEN1CHL1,LEN1CHL1,Hôpital,99 Route de la Bassée 62300 Lens,50.43934756347011,2.82078788328055,,,0,,1
CAR2POST,CAR2POST,Poste,119 Rue Francis de Pressence 62220 Carvin,50.4887093623553,2.954092199618994,,,0,,0
BUL1CLIN,BUL1CLIN,Lamendin,81 Boulevard Arthur Lamendin 62670 Mazingarbe,50.46065993225016,2.7176161351693686,,,0,,0
ANZ2CALV,ANZ2CALV,Morinie,914 Avenue de la Morinie 62232 Annezin,50.54045089142937,2.614469687660172,,,0,,1
BET1GAR3,BET1GAR3,Gare - Quai 3,309 Avenue de Lens 62400 Béthune,50.52094375741459,2.6425764277286854,,,0,,1
SAI1ARLE,SAI1ARLE,Arles,14 Rue d’Arles 62114 Sains-en-Gohelle,50.44233991649873,2.686904154441687,,,0,,0
CAR2PJJ4,CAR2PJJ4,Jean Jaurès,Place Jean Jaurès 62220 Carvin,50.49324092381181,2.9575234801628607,,,0,,0
